,0
523,-0.13011
524,933.00718
525,42.21228
526,0.0
527,0.0
528,0.0
529,0.0
530,0.0
531,1527.30885
532,-29.48986
533,-73.45471
534,0.0
535,0.0
536,0.0
537,0.0
538,0.0
539,1247.43022
540,-2.3435
541,-4.43251
542,147.09591
543,681.97798
544,0.0
545,-237.16811
546,175.63794
547,0.0
548,0.0
549,0.0
550,0.0
551,-28.97526
552,0.0
553,-5.47213
554,0.0
555,-191.5146
556,0.0
557,-113.88255
558,725.77834
559,1295.74375
560,0.0
561,0.0
562,0.0
563,0.0
564,0.0
565,1285.21671
566,131.88628
567,-82.34741
568,0.0
569,143.95739
570,-130.89738
571,-58.84874
572,4649.27623
573,-34.43737
574,-118.01333
575,0.0
576,1994.24593
577,0.0
578,264.43791
579,0.0
580,0.0
581,-4.76731
582,754.2421
583,2256.68601
584,0.0
585,-116.57883
586,-12.5336
587,0.0
588,0.0
589,343.57354
590,-33.70043
591,0.0
592,251.21014
593,1066.38072
594,57.92049
595,0.0
596,679.11413
597,0.0
598,-15.89786
599,0.0
600,6415.80865
601,142.66315
602,-68.09454
603,0.0
604,0.0
605,-38.26051
606,0.0
607,0.0
608,0.0
609,0.0
610,16.00458
611,26.62215
612,-13.66179
613,-44.92274
614,0.0
615,0.0
616,0.0
617,21.24325
618,196.36382
619,0.0
620,250.01252
621,0.0
622,1703.56277
623,0.0
624,267.32056
625,0.0
626,264.66315
627,0.0
628,0.0
629,0.0
630,0.0
631,246.52948
632,1234.48797
633,0.0
634,0.0
635,1135.29998
636,0.0
637,-4.40297
638,0.0
639,-108.78897
640,85.78979
641,0.0
642,0.0
643,0.0
644,2847.5873
645,-144.63763
646,0.0
647,0.0
648,0.0
649,-3.63947
650,0.0
651,0.0
652,553.36631
653,-83.03184
654,0.0
655,-167.23625
656,0.0
657,-8.3489
658,0.0
659,1355.82554
660,449.98267
661,0.0
662,3028.1395
663,2229.79048
664,0.0
665,159.11655
666,-103.6551
667,0.0
668,0.0
669,1351.88297
670,-23.98907
671,0.0
672,5618.15463
673,-58.36858
674,216.34341
675,0.0
676,0.0
677,0.0
678,0.0
679,1955.83246
680,0.0
681,0.0
682,0.0
683,0.0
684,0.0
685,3591.32407
686,4320.90468
687,0.0
688,-207.09423
689,496.04987
690,0.0
691,0.0
692,0.0
693,2032.76391
694,186.50459
695,0.0
696,3833.83002
697,0.0
698,0.0
699,2886.72903
700,-114.21318
701,1638.65385
702,893.77265
703,0.0
704,0.0
705,0.0
706,0.0
707,5335.24681
708,-190.60805
709,0.0
710,340.23514
711,0.0
712,0.0
713,0.0
714,-220.48611
715,0.0
716,530.23941
717,0.0
718,0.0
719,0.0
720,0.0
721,0.0
722,3834.96158
723,0.0
724,0.0
725,0.0
726,-8.29832
727,0.0
728,-45.48711
729,0.0
730,305.77199
731,1005.58017
732,0.0
733,0.0
734,-163.85939
735,-65.7948
736,0.0
737,0.0
738,467.1617
739,0.0
740,2221.84124
741,0.0
742,0.0
743,987.35823
744,4502.40469
745,1541.34993
746,3263.47877
747,-52.54835
748,0.0
749,2172.38412
750,439.20419
751,-46.56398
752,1240.65628
753,0.0
754,0.0
755,1257.62817
756,0.0
757,449.3809
758,2583.40597
759,811.93385
760,0.0
761,0.0
762,277.02218
763,0.0
764,3275.62629
765,6.31936
766,-6.65774
767,0.0
768,110.42495
769,93.62422
770,0.0
771,0.0
772,2171.72053
773,3833.20169
774,241.91203
775,0.0
776,808.21233
777,0.0
778,0.0
779,0.0
780,4969.22425
781,1356.37799
782,176.94377
783,0.0
784,32.30434
785,-50.97937
786,0.0
787,-147.23116
788,0.0
789,437.41141
790,-20.33859
791,-16.15027
792,732.45866
793,2083.92112
794,-16.95131
795,0.0
796,0.0
797,0.0
798,2510.94341
799,111.08281
800,0.0
801,0.0
802,-78.31076
803,0.0
804,667.0772
805,0.0
806,1807.52795
807,-68.40087
808,-62.76442
809,90.41071
810,0.0
811,2427.5563
812,0.0
813,119.5155
814,0.0
815,-52.66166
816,125.49169
817,2679.59538
818,0.0
819,0.0
820,0.0
821,91.18194
822,-90.66667
823,0.0
824,0.0
825,150.06386
826,100.41673
827,630.44822
828,276.13277
829,0.0
830,1482.1048
831,-24.70682
832,0.0
833,-71.43806
834,0.0
835,0.0
836,0.0
837,0.0
838,0.0
839,0.0
840,0.0
841,0.0
842,-56.54573
843,0.0
844,888.28395
845,0.0
846,640.97806
847,785.84613
