Time;Open;High;Low;Last;Change;Volume;Open Int
6/23/20;8,3;8,475;8,3;8,42;0,235;5951;89179
6/22/20;8,240001;8,26;8,095;8,185;-0,089;6778;88029
6/19/20;8,22;8,35;8,195;8,274;0,182;2410;88114
6/18/20;7,9;8,1;7,9;8,092;0,228;5750;87134
6/17/20;7,65;8,01;7,6;7,864;0,022999;10970;86458
6/16/20;7,855;8,04;7,725;7,841001;0,030001;8560;87635
6/15/20;7,755001;7,85;7,75;7,811;0,104;13504;87148
6/12/20;7,765;7,825;7,6;7,707;0,098;12405;90317
6/11/20;7,515;7,745;7,515;7,609;-0,023;5543;90984
6/10/20;7,495;7,725;7,495;7,632;0,043;5686;90173
6/9/20;7,705;7,75;7,57;7,589;-0,277001;6825;89218
6/8/20;8,22;8,305;7,73;7,866001;-0,371999;6000;89549
6/5/20;7,8;8,395;7,8;8,238;0,331;7860;88237
6/4/20;7,625;8,05;7,475;7,907;0,108;8575;86679
6/3/20;7,645;7,925;7,495;7,799;0,245;9585;84659
6/2/20;7,285;7,62;7,27;7,554;0,488;11443;82235
6/1/20;7,07;7,235;7,06;7,066;-0,254;8680;84308
5/29/20;7,37;7,425;7,17;7,32;0,238;4869;85698
5/28/20;7,295;7,35;7,06;7,082;-0,164;5530;88106
5/27/20;7,3;7,33;7,205;7,246;-0,279;6802;85357
5/26/20;7,725;7,85;7,46;7,525;-0,264;3559;84186
5/25/20;7,7;7,789;7,7;7,789;0,494;5330;83786
5/22/20;6,95;7,455;6,775;7,295;-0,027;570;83651
5/21/20;7,55;7,625;7,275;7,322;-0,535;9190;83628
5/20/20;8;8,075;7,8;7,857;-0,071;12045;85002
5/19/20;8,1;8,105;7,91;7,928;-0,278;7116;86371
5/18/20;8,575;8,575;8,2;8,206;-0,244;5855;85166
5/15/20;8,6;8,650001;8,425;8,45;-0,049;9253;81519
5/14/20;8,425;8,525001;8,425;8,499;0,093;9181;79762
5/13/20;8,51;8,51;8,395;8,406;-0,252999;8971;77532
5/12/20;8,875;8,875;8,61;8,658999;-0,350001;8620;76429
5/11/20;8,900001;9,1;8,875;9,009;0,037;6685;76414
5/8/20;8,95;8,975;8,95;8,972;-0,037;5816;75587
5/7/20;9;9,025001;8,935;9,009;0,160999;90;75572
5/6/20;8,75;8,935;8,75;8,848001;0,116001;2995;75267
5/5/20;8,85;8,85;8,725;8,732;0,043;2200;75227
5/4/20;8,775001;8,775001;8,650001;8,689;-0,021;4090;75231
5/1/20;8,900001;8,935;8,650001;8,71;-0,287001;6360;74139
4/30/20;8,900001;9,1;8,900001;8,997001;0,004001;4311;73235
4/29/20;9,2;9,225;8,993;8,993;-0,083;3855;72629
4/28/20;8,95;9,125;8,95;9,076;0,096;3495;72620
4/27/20;8,95;9,035;8,925;8,98;-0,014;5029;72404
4/24/20;9,1;9,125;8,84;8,994;-0,248;2815;71947
4/23/20;9,3;9,35;9,175;9,242;-0,219;5240;71802
4/22/20;9,5;9,7;9,461;9,461;-0,127;3865;73922
4/21/20;9,75;9,75;9,55;9,588;-0,297;4950;73738
4/20/20;9,900001;9,96;9,8;9,885;-0,182;4994;72679
4/17/20;10,1;10,175;9,955001;10,067;0,305;5630;71869
4/16/20;9,775001;10,04;9,762;9,762;0,32;6877;71477
4/15/20;9,625;9,625;9,43;9,442;-0,292;10560;69102
4/14/20;9,79;9,79;9,734;9,734;-0,347;3494;69227
4/13/20;10,081;10,081;10,081;10,081;0;3385;69607
4/9/20;9,990001;10,081;9,925;10,081;0,087;0;69607
4/8/20;10,14;10,2;9,975;9,994;-0,113;5334;68842
4/7/20;10,15;10,45;10,107;10,107;0,033;5715;69487
4/6/20;9,6;10,15;9,6;10,074;0,482999;5975;67562
4/3/20;9,5;9,7;9,5;9,591001;0,084001;3490;67577
4/2/20;9,45;9,507;9,45;9,507;0,231999;5565;69074
4/1/20;9,225;9,325;9,175;9,275001;-0,043999;5560;69322
3/31/20;9,435;9,45;9,305;9,319;0,125;3361;69193
3/30/20;9,3;9,37;9,13;9,194;-0,299;5835;67524
3/27/20;9,6;9,650001;9,490001;9,493;-0,362;3195;67207
3/26/20;9,780001;9,855;9,7;9,855;-0,039;4930;66104
3/25/20;9,85;9,895;9,82;9,894;0,052999;4575;65213
3/24/20;9,975;9,975;9,841001;9,841001;0,168001;6186;65115
3/23/20;9,745;9,865001;9,673;9,673;-0,299;4882;66481
3/20/20;10,16;10,25;9,955001;9,972;-0,095;4155;65869
3/19/20;10,025;10,095;9,940001;10,067;0,139;5955;65351
3/18/20;9,900001;10,005;9,895;9,928;-0,218;7789;66230
3/17/20;10,35;10,35;10,125;10,146;-0,318;6499;66337
3/16/20;10,425;10,475;10,425;10,464;-0,39;8125;66094
3/13/20;11,05;11,1;10,82;10,854;0,064;8365;64492
3/12/20;10,7;10,79;10,7;10,79;-0,265;5062;64181
3/11/20;11,055;11,055;11,055;11,055;0,176;10590;64363
3/10/20;10,879;10,879;10,879;10,879;0,324;9930;64343
3/9/20;10,35;10,555;10,35;10,555;-0,198;6050;63603
3/6/20;10,9;10,9;10,753;10,753;-0,281;12326;62441
3/5/20;11,02;11,05;11,01;11,034;-0,088;3622;61996
3/4/20;11,18;11,29;11;11,122;-0,096;2570;61151
3/3/20;11,05;11,225;11,05;11,218;0,365;4218;60116
3/2/20;11;11;10,735;10,853;0,043;4095;59779
2/28/20;10,75;10,855;10,75;10,81;0,05;2265;59179
2/27/20;10,975;10,975;10,745;10,76;-0,281;2660;58984
2/26/20;10,8;11,041;10,8;11,041;0,1;4141;58955
2/25/20;10,941;10,941;10,941;10,941;-0,136;4245;58750
2/24/20;11,25;11,29;11,05;11,077;-0,52;1392;58560
2/21/20;11,65;11,65;11,597;11,597;-0,116;5186;61144
2/20/20;11,8;11,92;11,7;11,713;-0,204;2600;60624
2/19/20;11,75;11,92;11,75;11,917;-0,13;4315;60247
2/18/20;12,105;12,17;11,99;12,047;-0,083;3420;59804
2/17/20;11,985;12,2;11,985;12,13;0,348;5139;59265
2/14/20;11,72;11,86;11,72;11,782;0,158;3639;58442
2/13/20;11,5;11,624;11,5;11,624;0,22;2785;58441
2/12/20;11,39;11,52;11,39;11,404;0,219;4460;58041
2/11/20;11,09;11,185;11,09;11,185;0,075;6942;56987
2/10/20;11,11;11,15;11,035;11,11;-0,279;3900;56272
2/7/20;11,4;11,5;11,389;11,389;0,08;4120;55352
2/6/20;11,225;11,309;11,175;11,309;-0,144;4085;53701
2/5/20;11,425;11,453;11,35;11,453;0,105;5170;54207
2/4/20;11,18;11,348;11,17;11,348;0,309;7480;54302
2/3/20;11,2;11,2;11,039;11,039;-0,379;4435;54620
1/31/20;11,418;11,418;11,418;11,418;-0,145;7910;53780
1/30/20;11,55;11,625;11,55;11,563;-0,152;9215;52905
1/29/20;12,075;12,075;11,65;11,715;-0,544;7365;50175
1/28/20;12,165;12,259;12,15;12,259;0,321;3770;49320
1/27/20;11,938;11,938;11,938;11,938;-0,037;3941;49390
1/24/20;12;12,02;11,955;11,975;0,133;2095;49039
1/23/20;11,842;11,842;11,842;11,842;-0,123;6405;49714
1/22/20;12,2;12,2;11,91;11,965;-0,254;5050;50259
1/21/20;12,35;12,35;12,065;12,219;0,118;2825;50543
1/20/20;12,075;12,12;12;12,101;-0,301;6926;50773
1/17/20;12,402;12,402;12,402;12,402;-0,22;5800;50427
1/16/20;12,95;12,95;12,55;12,622;-0,18;3835;49657
1/15/20;12,82;12,9;12,75;12,802;-0,201;7505;47794
1/14/20;12,945;13,003;12,945;13,003;-0,552;3875;46384
1/13/20;13,65;13,65;13,555;13,555;0,065;2915;45479
1/10/20;13,575;13,575;13,49;13,49;-0,244;3870;44719
1/9/20;13,65;13,76;13,65;13,734;0,126;2500;43919
1/8/20;13,608;13,608;13,608;13,608;-0,078;2875;42484
1/7/20;13,686;13,686;13,686;13,686;-0,274;3600;42854
1/6/20;13,96;13,96;13,96;13,96;-0,379;3070;43019
1/3/20;14,339;14,339;14,339;14,339;0,891;3310;42794
1/2/20;13,448;13,448;13,448;13,448;-0,115;3035;42133
12/31/19;13,563;13,563;13,563;13,563;-0,311;880;41933
12/30/19;13,874;13,874;13,874;13,874;-0,373;610;41928
12/27/19;14,247;14,247;14,247;14,247;-0,063;800;41799
12/26/19;14,31;14,31;14,31;14,31;0;505;41889
12/24/19;14,31;14,31;14,31;14,31;-0,31;0;41889
12/23/19;14,62;14,62;14,62;14,62;-0,601;475;42039
12/20/19;15,221;15,221;15,221;15,221;-0,262;3715;42148
12/19/19;15,45;15,483;15,45;15,483;0,346;3350;41671
12/18/19;15,137;15,137;15,137;15,137;0,195;2980;41741
12/17/19;14,942;14,942;14,942;14,942;0,29;2120;41921
12/16/19;14,652;14,652;14,652;14,652;0,117;995;41766
12/13/19;14,535;14,535;14,535;14,535;-0,544;2005;41061
12/12/19;15,079;15,079;15,079;15,079;0,468;1925;40791
12/11/19;14,611;14,611;14,611;14,611;-0,252;3088;40010
12/10/19;14,863;14,863;14,863;14,863;-0,391;1570;39865
12/9/19;15,254;15,254;15,254;15,254;-0,19;3080;40135
12/6/19;15,444;15,444;15,444;15,444;-0,194;2570;39198
12/5/19;15,638;15,638;15,638;15,638;-0,286;1745;39128
12/4/19;15,924;15,924;15,924;15,924;0,062;1235;38993
12/3/19;15,862;15,862;15,862;15,862;-0,057;1205;38758
12/2/19;15,919;15,919;15,919;15,919;-0,336;1110;38564
11/29/19;16,255;16,255;16,255;16,255;-0,205;2265;38199
11/28/19;16,46;16,46;16,46;16,46;-0,29;615;38359
11/27/19;16,75;16,75;16,75;16,75;0,192;1015;38219
11/26/19;16,558;16,558;16,558;16,558;-0,295;490;38299
11/25/19;16,853;16,853;16,853;16,853;0,073;805;38252
11/22/19;16,78;16,78;16,78;16,78;0,305;620;38241
11/21/19;16,475;16,475;16,475;16,475;0,007;1895;37104
11/20/19;16,468;16,468;16,468;16,468;0,048;1672;36336
11/19/19;16,42;16,42;16,42;16,42;0,042;2240;35597
11/18/19;16,378;16,378;16,378;16,378;-0,196;2210;35671
11/15/19;16,574;16,574;16,574;16,574;0,167;835;35982
11/14/19;16,407;16,407;16,407;16,407;0,192;1125;36202
11/13/19;16,215;16,215;16,215;16,215;-0,085;2158;36542
11/12/19;16,32;16,32;16,3;16,3;-0,164;2610;35586
11/11/19;16,464;16,464;16,464;16,464;-0,099;1919;35236
11/8/19;16,563;16,563;16,563;16,563;-0,125;1275;35311
11/7/19;16,75;16,75;16,688;16,688;-0,14;970;35296
11/6/19;16,828;16,828;16,828;16,828;-0,292;1117;35433
